"Amostra","Cidade","Staphylococcus_UFC_mL","Mesofilos_UFC_mL","Psicotroficos_UFC_mL","Devoltest","Estacao"
1,"Vereda","      10000","  24700000","     10000","Negativo","Inverno"
2,"Teixeira de Freitas","     720000"," 250000000","   2420000","Negativo","Inverno"
3,"Alcobaça","   12000000"," 570000000","     10000","Negativo","Inverno"
4,"Medeiros Neto","     200000","  29000000","   2830000","Negativo","Inverno"
5,"Medeiros Neto","   50000000","2500000000","  18700000","Negativo","Inverno"
6,"Medeiros Neto","     170000","2500000000","     10000","Negativo","Inverno"
7,"Caravelas","     770000","2500000000","    680000","Negativo","Inverno"
8,"Medeiros Neto","     650000","2500000000","     10000","Negativo","Inverno"
9,"Itanhém","      10000"," 730000000","     10000","Negativo","Inverno"
10,"Itanhém","14400000000","1980000000","1660000000","Negativo","Inverno"
11,"Itanhém","    2000000"," 530000000","   2250000","Negativo","Inverno"
12,"Mucuri","15000000000","2500000000","  21000000","Negativo","Inverno"
13,"Nova Viçosa"," 1160000000","2500000000","  12200000","Negativo","Inverno"
1,"Vereda","    10000","138000000","  5500000","Negativo","Outono"
2,"Teixeira de Freitas","  1650000"," 54000000","357000000","Negativo","Outono"
3,"Alcobaça","    10000","     1000","    10000","Negativo","Outono"
4,"Medeiros Neto","    10000","     1000","  1100000","Negativo","Outono"
5,"Medeiros Neto","    10000","     1000","    10000","Negativo","Outono"
6,"Medeiros Neto","150000000","542000000","    10000","Negativo","Outono"
7,"Caravelas","  8250000","    33000","  7900000","Negativo","Outono"
8,"Medeiros Neto","    10000","     1000"," 11500000","Negativo","Outono"
9,"Itanhém","  1500000","   110000","   330000","Negativo","Outono"
10,"Itanhém","   160000","  7250000","    10000","Negativo","Outono"
11,"Itanhém","    10000","   950000","  1590000","Negativo","Outono"
12,"Mucuri","   270000","     1000","   700000","Negativo","Outono"
13,"Nova Viçosa","  1790000","  5000000","    10000","Negativo","Outono"
1,"Vereda","   2900000","2500000000","    180000","Negativo","Primavera"
2,"Teixeira de Freitas","    500000","2500000000","    170000","Negativo","Primavera"
3,"Alcobaça","    260000","2500000000","         0","Negativo","Primavera"
4,"Medeiros Neto","    170000","2500000000","      2000","Negativo","Primavera"
5,"Medeiros Neto","    230000","2500000000","      9000","Negativo","Primavera"
6,"Medeiros Neto","    150000","2500000000","      4000","Negativo","Primavera"
7,"Caravelas","3300000000","2500000000","   9200000","Negativo","Primavera"
8,"Medeiros Neto","  54000000","2500000000","   1400000","Negativo","Primavera"
9,"Itanhém"," 210000000","2500000000","2500000000","Negativo","Primavera"
10,"Itanhém","   4200000","2500000000","    290000","Negativo","Primavera"
11,"Itanhém"," 690000000","2500000000","    110000","Negativo","Primavera"
12,"Mucuri","2700000000","2500000000","         0","Negativo","Primavera"
13,"Nova Viçosa"," 540000000","2500000000","   1300000","Negativo","Primavera"
1,"Vereda","  965000000","2500000000","2500000000","Negativo","Verão"
2,"Teixeira de Freitas","  184000000","2500000000","2500000000","Negativo","Verão"
3,"Alcobaça","   37000000","2500000000","2500000000","Positivo","Verão"
4,"Medeiros Neto","15000000000","2500000000","2500000000","Positivo","Verão"
5,"Medeiros Neto","  182000000","2500000000","2500000000","Negativo","Verão"
6,"Medeiros Neto"," 1350000000","2500000000","2500000000","Negativo","Verão"
7,"Caravelas","   18100000","2500000000","2500000000","Negativo","Verão"
8,"Medeiros Neto","  150000000","2500000000","2500000000","Negativo","Verão"
9,"Itanhém","   15000000"," 250000000","2500000000","Negativo","Verão"
10,"Itanhém","  130000000","  25500000","2500000000","Negativo","Verão"
11,"Itanhém","  352000000","2500000000","2500000000","Negativo","Verão"
12,"Mucuri","    1240000","2500000000","2500000000","Negativo","Verão"
13,"Nova Viçosa","  580000000","2500000000","2500000000","Negativo","Verão"
